inning,ball,event,batting_team,bowling_team,team_1,team_1_before_pct,team_1_after_pct,team_1_delta_pct,team_2,team_2_before_pct,team_2_after_pct,team_2_delta_pct
1,0.1,2,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,0.2,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,0.3,4,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,0.4,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,0.5,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,0.6,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,1.1,4,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,1.2,1,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,1.3,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,1.4,wd,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,1.5,4,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,1.6,4,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,44,-6,Mumbai Indians,50,56,6
1,1.7,1,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,2.1,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,2.2,6,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,47,-3,Mumbai Indians,50,53,3
1,2.3,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,47,50,3,Mumbai Indians,53,50,-3
1,2.4,4,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,47,50,3,Mumbai Indians,53,50,-3
1,2.5,1,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,47,50,3,Mumbai Indians,53,50,-3
1,2.6,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,47,50,3,Mumbai Indians,53,50,-3
1,3.1,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,47,50,3,Mumbai Indians,53,50,-3
1,3.2,1,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,47,50,3,Mumbai Indians,53,50,-3
1,3.3,1,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,3.4,0,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
1,3.5,1,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,50,50,0,Mumbai Indians,50,50,0
